merged_data
Month,2023_temp,2022_temp,2021_temp,2020_temp,2023_humid,2022_humid,2021_humid,2020_humid,date,class,focuses,uf,2020_rain,2021_rain,2022_rain,2023_rain
8.0,28.8,27.6,27.1,27.7,74.8,77.2,81.0,74.9,2023/08,Vegetacao Secundaria,732.0,PARÁ,1892.0,1826.0,1855.7,660.0
8.0,28.8,27.6,27.1,27.7,74.8,77.2,81.0,74.9,2023/08,Vegetacao Secundaria,91.0,RONDÔNIA,1892.0,1826.0,1855.7,660.0
8.0,28.8,27.6,27.1,27.7,74.8,77.2,81.0,74.9,2023/08,Vegetacao Secundaria,4.0,RORAIMA,1892.0,1826.0,1855.7,660.0
8.0,28.8,27.6,27.1,27.7,74.8,77.2,81.0,74.9,2023/08,Vegetacao Secundaria,2.0,TOCANTINS,1892.0,1826.0,1855.7,660.0
8.0,28.8,27.6,27.1,27.7,74.8,77.2,81.0,74.9,2022/08,Desmatamento Consolidado,407.0,ACRE,1892.0,1826.0,1855.7,660.0
8.0,28.8,27.6,27.1,27.7,74.8,77.2,81.0,74.9,2022/08,Desmatamento Consolidado,8.0,AMAPÁ,1892.0,1826.0,1855.7,660.0
8.0,28.8,27.6,27.1,27.7,74.8,77.2,81.0,74.9,2022/08,Desmatamento Consolidado,920.0,AMAZONAS,1892.0,1826.0,1855.7,660.0
8.0,28.8,27.6,27.1,27.7,74.8,77.2,81.0,74.9,2022/08,Desmatamento Consolidado,159.0,MARANHÃO,1892.0,1826.0,1855.7,660.0
8.0,28.8,27.6,27.1,27.7,74.8,77.2,81.0,74.9,2022/08,Desmatamento Consolidado,955.0,MATO GROSSO,1892.0,1826.0,1855.7,660.0
8.0,28.8,27.6,27.1,27.7,74.8,77.2,81.0,74.9,2022/08,Desmatamento Consolidado,2815.0,PARÁ,1892.0,1826.0,1855.7,660.0
8.0,28.8,27.6,27.1,27.7,74.8,77.2,81.0,74.9,2022/08,Desmatamento Consolidado,427.0,RONDÔNIA,1892.0,1826.0,1855.7,660.0
8.0,28.8,27.6,27.1,27.7,74.8,77.2,81.0,74.9,2022/08,Desmatamento Consolidado,5.0,RORAIMA,1892.0,1826.0,1855.7,660.0
8.0,28.8,27.6,27.1,27.7,74.8,77.2,81.0,74.9,2022/08,Desmatamento Consolidado,45.0,TOCANTINS,1892.0,1826.0,1855.7,660.0
8.0,28.8,27.6,27.1,27.7,74.8,77.2,81.0,74.9,2022/08,Desmatamento Recente,1795.0,ACRE,1892.0,1826.0,1855.7,660.0
8.0,28.8,27.6,27.1,27.7,74.8,77.2,81.0,74.9,2022/08,Desmatamento Recente,1.0,AMAPÁ,1892.0,1826.0,1855.7,660.0
8.0,28.8,27.6,27.1,27.7,74.8,77.2,81.0,74.9,2022/08,Desmatamento Recente,6122.0,AMAZONAS,1892.0,1826.0,1855.7,660.0
8.0,28.8,27.6,27.1,27.7,74.8,77.2,81.0,74.9,2022/08,Desmatamento Recente,76.0,MARANHÃO,1892.0,1826.0,1855.7,660.0
8.0,28.8,27.6,27.1,27.7,74.8,77.2,81.0,74.9,2022/08,Desmatamento Recente,3592.0,MATO GROSSO,1892.0,1826.0,1855.7,660.0
8.0,28.8,27.6,27.1,27.7,74.8,77.2,81.0,74.9,2022/08,Desmatamento Recente,7803.0,PARÁ,1892.0,1826.0,1855.7,660.0
8.0,28.8,27.6,27.1,27.7,74.8,77.2,81.0,74.9,2022/08,Desmatamento Recente,2687.0,RONDÔNIA,1892.0,1826.0,1855.7,660.0
8.0,28.8,27.6,27.1,27.7,74.8,77.2,81.0,74.9,2022/08,Desmatamento Recente,6.0,RORAIMA,1892.0,1826.0,1855.7,660.0
8.0,28.8,27.6,27.1,27.7,74.8,77.2,81.0,74.9,2022/08,Desmatamento Recente,2.0,TOCANTINS,1892.0,1826.0,1855.7,660.0
8.0,28.8,27.6,27.1,27.7,74.8,77.2,81.0,74.9,2022/08,Floresta,310.0,ACRE,1892.0,1826.0,1855.7,660.0
8.0,28.8,27.6,27.1,27.7,74.8,77.2,81.0,74.9,2022/08,Floresta,16.0,AMAPÁ,1892.0,1826.0,1855.7,660.0
8.0,28.8,27.6,27.1,27.7,74.8,77.2,81.0,74.9,2022/08,Floresta,671.0,AMAZONAS,1892.0,1826.0,1855.7,660.0
8.0,28.8,27.6,27.1,27.7,74.8,77.2,81.0,74.9,2022/08,Floresta,1.0,MARANHÃO,1892.0,1826.0,1855.7,660.0
8.0,28.8,27.6,27.1,27.7,74.8,77.2,81.0,74.9,2022/08,Floresta,1014.0,MATO GROSSO,1892.0,1826.0,1855.7,660.0
8.0,28.8,27.6,27.1,27.7,74.8,77.2,81.0,74.9,2022/08,Floresta,943.0,PARÁ,1892.0,1826.0,1855.7,660.0
8.0,28.8,27.6,27.1,27.7,74.8,77.2,81.0,74.9,2022/08,Floresta,173.0,RONDÔNIA,1892.0,1826.0,1855.7,660.0
